,Activation_functions,Coefficient of determination(train),MAE Test,MAE Train ,MAE criteria,MAE criteria (95%),MSE Test,MSE Train,Optimzer,Q2f1,Q2f2,TROPSA criteria,batch_size,loss,model,num_layers
0,relu,0.968,1.486,0.341,BAD,BAD,4.038,0.209,RMSprop,0.345999986,0.345999986,FAIL,16,mean_squared_error,model_0,17
1,relu,0.995,1.388,0.135,BAD,MODERATE,3.629,0.034,SGD,0.412,0.412,FAIL,16,huber_loss,model_1,25
2,relu,0,2.047,2.08,BAD,BAD,6.174,6.475,SGD,0,-0.001,FAIL,16,mean_squared_error,model_2,23
3,relu,0.931,1.578,0.523,BAD,BAD,4.698,0.446,RMSprop,0.238999993,0.238999993,FAIL,32,mean_squared_error,model_3,21
4,relu,0.978,1.354,0.297,BAD,MODERATE,3.088,0.144,Adamax,0.5,0.5,FAIL,32,huber_loss,model_4,17
5,relu,0.977,1.357,0.309,BAD,MODERATE,3.14,0.146,Adamax,0.490999997,0.490999997,FAIL,16,huber_loss,model_5,12
6,relu,0.99,1.412,0.13,BAD,BAD,3.809,0.068,Adam,0.382999986,0.382999986,FAIL,16,huber_loss,model_6,19
7,relu,0.983,1.307,0.257,BAD,MODERATE,3.213,0.107,SGD,0.479999989,0.479000002,FAIL,16,mean_squared_error,model_7,20
8,relu,0.936,1.57,0.496,BAD,BAD,4.268,0.415,Adam,0.308999985,0.307999998,FAIL,32,huber_loss,model_8,12
9,relu,0.962,1.63,0.392,BAD,BAD,4.655,0.245,RMSprop,0.246000007,0.246000007,FAIL,16,huber_loss,model_9,8
10,relu,0.99,1.347,0.184,BAD,MODERATE,3.182,0.064,Adamax,0.483999997,0.483999997,FAIL,16,huber_loss,model_10,17
11,relu,0.969,1.387,0.3,BAD,BAD,3.781,0.198,RMSprop,0.386999995,0.386999995,FAIL,16,mean_squared_error,model_11,15
12,relu,0.998,1.418,0.02,BAD,BAD,3.489,0.011,Adagrad,0.435000002,0.435000002,FAIL,16,mean_squared_error,model_12,20
13,relu,0.969,1.382,0.35,BAD,MODERATE,3.439,0.2,Adamax,0.442999989,0.442999989,FAIL,16,mean_squared_error,model_13,27
14,relu,0.984,1.515,0.238,BAD,BAD,3.967,0.106,Adam,0.356999993,0.356999993,FAIL,32,huber_loss,model_14,3
15,relu,0.954,1.519,0.418,BAD,BAD,3.848,0.296,Adam,0.377000004,0.375999987,FAIL,16,mean_squared_error,model_15,4
16,relu,0.809,1.589,0.931,BAD,BAD,4.084,1.238,Adam,0.338,0.338,FAIL,32,mean_squared_error,model_16,17
17,relu,0.969,1.407,0.338,BAD,BAD,3.364,0.202,Adamax,0.455000013,0.455000013,FAIL,16,mean_squared_error,model_17,19
18,relu,0.965,1.528,0.332,BAD,BAD,4.163,0.225,RMSprop,0.324999988,0.324999988,FAIL,16,huber_loss,model_18,3
19,relu,0.991,1.378,0.165,BAD,MODERATE,3.564,0.057,SGD,0.423000008,0.421999991,FAIL,32,huber_loss,model_19,28
20,relu,0.947,1.4,0.407,BAD,BAD,3.542,0.344,SGD,0.425999999,0.425999999,FAIL,16,huber_loss,model_20,29
21,relu,1,1.519,0.005,BAD,BAD,3.732,0,Adagrad,0.395000011,0.395000011,FAIL,16,mean_squared_error,model_21,5
22,relu,-0.048,2.101,2.134,BAD,BAD,6.538,6.786,SGD,-0.059,-0.059999999,FAIL,16,huber_loss,model_22,23
23,relu,-0.757,2.641,2.703,BAD,BAD,10.856,11.38,SGD,-0.759000003,-0.75999999,FAIL,32,huber_loss,model_23,29
24,relu,-7143.137,215.022,215.072,BAD,BAD,46240.546,46262.283,SGD,-7490.665039,-7493.680176,FAIL,32,mean_squared_error,model_24,30
